title,company,location
BrSE [Salary Up to $2500](MỚI),Gmo-Z.com Vietnam Lab Center,"Hà Nội, Đà Nẵng, Hồ Chí Minh"
[HN] Python Leader (Up to $2500 + Bonus)(MỚI),Hybrid Technologies,Hà Nội
Senior Database Developer(MỚI),Navigos Group,Hồ Chí Minh
DevOps Engineer,Techcombank,Hà Nội
Senior Back End Developer,Techcombank,Hà Nội
Research Scientist- Vinbigdata,Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata (Vingroup) – Công Nghệ Việt Vì Tương Lai Việt,"Hà Nội, Hồ Chí Minh"
(Senior) Firmware Engineer,Fossil Việt Nam,Hồ Chí Minh
DevOps Engineer,Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,Hà Nội
"Senior Research Engineer (R&D, C++, Algorithm, Ipcv / Machine Learning)",Personify Incorporation,Hồ Chí Minh
NLP Engineer,"Ftech CO., LTD",Hà Nội
[HN] - Trưởng Nhóm IoT (Lương Cao Hấp Dẫn),Tập Đoàn Tecomen,"Hà Nội, Hưng Yên"
"Cloud Engineers / Technical Leads (Aws, Azure, Gcp) (20 positions)",Capgemini Vietnam,Hồ Chí Minh
"Backend Developer (Ruby, Python)",Skylab Innogram Vietnam LLC,Hồ Chí Minh
Senior Data Engineer,"Bosch Vietnam Co., Ltd In Dong Nai","Bình Dương, Đồng Nai, Hồ Chí Minh"
Computer Vision Engineer,Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội
"R&D Engineer on Machine Learning, Artificial Intelligence, Computer Vision",Awl Vietnam,Hà Nội
Nhân Viên Quản Trị Hệ Thống Nagiosxi,Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội
System Engineer(MỚI),Skylab Innogram Vietnam LLC,Hồ Chí Minh
"Senior Cloud Engineer (PL/ SQL, Cloud) – Salary ~2500",Techcombank,Hà Nội
Senior Software Developer (Data Warehouse/cloud),Techcombank,Hà Nội
Senior Data Architect – Salary ~ 5000,Techcombank,Hà Nội
Machine Learning Engineer,Công Ty Cổ Phần VCCorp (Vc Corporation),Hà Nội
Python Developers - Junior,"HDWebsoft Co., Ltd",Hồ Chí Minh
"Kỹ Sư Devops, Cloud Computing",Công Ty Cổ Phần Bkav,Hà Nội
Embedded Software Developer (Sign-On Bonus Up To $1000),"Ban Vien Co., Ltd",Hồ Chí Minh
Junior/senior Backend Engineer(MỚI),"Ftech CO., LTD",Hà Nội
[HCM] Data Analyst,Ahamove - Công Ty Cổ Phần Dịch Vụ Tức Thời,Hồ Chí Minh
"AI Engineer (Python, Computer Vision)",Công Ty TNHH Cung Cấp Giải Pháp Dịch Vụ Giá Trị Gia Tăng (Vivas),Hà Nội
[HN] Lập Trình Viên (Nodejs/python/c#/java/react),Công Ty Cổ Phần Synnex FPT,Hà Nội
Senior Python Developer,"Hitachi Vantara Vietnam Co., Ltd.","Đà Nẵng, Hồ Chí Minh"
Automation Test Engineers,"Hitachi Vantara Vietnam Co., Ltd.",Hồ Chí Minh
"[VinSmart] Software Testing Expert ( Salary $1,700 – $3,000)",Công Ty Cổ Phần Nghiên Cứu Và Sản Xuất VinSmart - Vingroup,Hà Nội
"DevOps Engineer (Python, Go)",Skylab Innogram Vietnam LLC,Hồ Chí Minh
[Urgent] Software Engineer (Fresh Graduates Are Welcome),"Ubase International, INC.",Hồ Chí Minh
Unity Game Developer,Công Ty TNHH Enish Việt Nam,Hồ Chí Minh
Senior JavaScript,Personify Incorporation,Hồ Chí Minh
Junior IT Business Analyst (BA),N KID GROUP,Hồ Chí Minh
"Kĩ Sư Computer VISION (Upto $2,600)",Công Ty Cổ Phần Phát Triển Công Nghệ Liên Việt,Hà Nội
[Vinsmart] Data Scientist,Công Ty Cổ Phần Nghiên Cứu Và Sản Xuất VinSmart - Vingroup,Hà Nội
Data Platform Engineer(MỚI),One Mount Group,"Hà Nội, Hồ Chí Minh"
Senior PHP Software Engineer,Diag,Hồ Chí Minh
"Senior Executive, IT Application Support",Hong Leong Bank Vietnam Limited,Hồ Chí Minh
Nhân Viên Khoa Học Dữ Liệu/ Junior Data Scientist,Công Ty TNHH Dịch Vụ Thông Tin Tài Chính Wvb Việt Nam,Hà Nội
"Data Engineer (Data Warehouse, Data Mart)",Shinhan Bank Vietnam,Hồ Chí Minh
"DevOps Engineer (Github, Python, Shell)",Samsung Electronics HCMC Ce Complex,Hồ Chí Minh
Chuyên Viên Lập Trình,Công Ty TNHH MTV Đầu Tư DHA (DHA Corporation),Hồ Chí Minh
Python Data Engineer,Geotech,Hồ Chí Minh
Python Developer,Navigos Search's Client,Hồ Chí Minh
Lập Trình Python,Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT),"Hà Nội, Đà Nẵng, Hồ Chí Minh"
Backend Developer (Go/python) - Up to $2500(MỚI),Tiki Corporation,Hồ Chí Minh
Senior/software Engineer (Python/golang/java),Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội
Lập Trình Viên Python/odoo,Công Ty Cổ Phần Công Nghệ Viindoo,Hải Phòng
Back-End Web Developer (Python)(MỚI),Geotech,Hồ Chí Minh
[HN] Lập Trình Viên Python (Lương 22 - 25M/tháng),Công Ty Cổ Phần Đào Tạo Công Nghệ Trẻ Teky,Hà Nội
[HCMC] - Fullstack Developer (Java/ JS/ Go/ Ror/ Python) - [1500$~3000$],IT Company,Hồ Chí Minh
[HCMC] - Senior Fullstack Developer (Java/ JS/ Go/ Ror/ Python) - [2000$~3000$],IT Company,Hồ Chí Minh
Data Analyst (Working Fulltime or Remote),Navigos Search's Client,Hồ Chí Minh
Software Engineer,German Software Intelligence,Hồ Chí Minh
Algorithm Engineer,Abivin,"Hà Nội, Hồ Chí Minh"
Senior Data Analytics,Deloitte Vietnam,Hồ Chí Minh
Lập Trình Viên Thực Tập,Công Ty Cổ Phần Công Nghệ Viindoo,Hải Phòng
Software Engineer Intern - Retail IQ,Tiki Corporation,Hồ Chí Minh
(Gấp) Senior Backend C++ Developer,Tập Đoàn Tecomen,"Hà Nội, Hưng Yên"
Khối Công Nghệ Thông Tin - Chuyên Viên Ban Tích Hợp Dữ Liệu,Ngân Hàng Thương Mại Cổ Phần Bưu Điện Liên Việt (Lienvietpost Bank),Hồ Chí Minh
Data Engineer,ILA Vietnam,Hồ Chí Minh
Web Developer,Công Ty TNHH Samsung Display Việt Nam,Bắc Ninh
Kĩ Sư AI / Vision,Công Ty TNHH Samsung Display Việt Nam,Bắc Ninh
DevOps Engineer_Bizflycloud,Công Ty Cổ Phần VCCorp (Vc Corporation),Hà Nội
Devops Engineer,Công Ty Cổ Phần Dịch Vụ Di Động Trực Tuyến (Ví MoMo),Hồ Chí Minh
[Attractive Salary] - Senior Developer (02 positions),Metasource,Hồ Chí Minh
Chuyên Viên Phát Triển Phần Mềm (Kiến Trúc & Giải Pháp Công Nghệ),Công Ty Cổ Phần Chứng Khoán MB,Hà Nội
IT Software,Công Ty TNHH Thương Mại Duy Anh,Hồ Chí Minh
Security Engineer (Open for Training),Vietnamobile,Hà Nội
QA Automation Engineer,Geotech,Hồ Chí Minh
Lập Trình Backend,Công Ty Cổ Phần VCCorp (Vc Corporation),Hà Nội
Junior/ Senior Data Scientist,Ngân Hàng TMCP Quân Đội,Hà Nội
[Gấp] AI/ Ml/ Dl Engineer,Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT),"Hà Nội, Đà Nẵng, Hồ Chí Minh"
[HCMC] - Senior Fullstack Developer (Java/ JS/ Go/ Ror/ PHP) - [2000$~3000$],IT Company,Hồ Chí Minh
Front End Developer,Công Ty Cổ Phần Công Nghệ Viindoo,Hải Phòng
Senior Full Stack Developer (Ruby/react) - Làm Việc Tại KĐT Ecopark,Công Ty Cổ Phần Dịch Vụ Công Nghệ Ecotek,"Hà Nội, Hưng Yên"
Senior Embedded Engineer (AI Domain),Navigos Search's Client,Hồ Chí Minh
[HCMC] - Software Developer (Japanese N3) [2000$~3000$],IT Company,Hồ Chí Minh
Maps Ops Associate (Good At English),Gojek Vietnam,Hồ Chí Minh
Front-End Developer Intern in Tax Technology,Pwc (Vietnam) Ltd.,Hồ Chí Minh
Junior/senior Data Engineer,Ngân Hàng TMCP Quân Đội,Hà Nội
Data Engineer,Techcom Securities (Tcbs),Hà Nội
[HCMC] - Software Developer (Japanese N3) [2000$~3000$],IT Company,Hồ Chí Minh
Backend & API Tester,Playstudios ASIA,Hồ Chí Minh
[HCM] 01 Automation Test Engineer (Up to $1500),Hybrid Technologies,Hồ Chí Minh
Chuyên Viên Về Giao Diện Và Trải Nghiệm Người Dùng - Trung Tâm Digital Banking - Khối Ngân Hàng Cá Nhân,Ngân Hàng Thương Mại Cổ Phần Tiên Phong,Hà Nội
Python Django Developer,Go Game Vietnam,Hồ Chí Minh
"Backend Engineer (Go Language or Python, Java, C/C++)",Công Ty Cổ Phần Chứng Khoán SSI,Hồ Chí Minh
"[Tuyển Dụng Toàn Quốc] 100 Lập Trình (Java, .Net, PHP, Python) - (800-1500 USD)",Tập Đoàn Bưu Chính Viễn Thông Việt Nam,"Hà Nội, Đà Nẵng, Hồ Chí Minh"
Technical Lead ( NodeJS ),Go Game Vietnam,Hồ Chí Minh
